term,estimate,std.error,statistic,p.value
(Intercept),9612.031434535202,175.1635902164883,54.87459707040426,0
fico,-699.2416221609017,19.26130503357603,-36.302920333902286,4.901559610664312e-286
fthb,237.0431513259018,35.867000104544985,6.608948354614809,3.8968070298429685e-11
one_unit,-870.9291337027059,62.55456048208632,-13.922712061131225,5.241825736644411e-44
cltv,303.01868260265974,9.978587633275406,30.366890960819855,2.6288450254355158e-201
dti,-120.17845236978724,9.004442866578392,-13.346572814166123,1.3823160437984259e-40
one_borrower,636.0027473778684,21.543625015736023,29.521621682206014,1.9605025223123778e-190
occupancy_i,1942.7773678499684,36.03035776481515,53.92056833105209,0
occupancy_s,836.00170507916,50.8454742333103,16.442008215776887,1.2270657136741489e-60
property_co,-4.130598616088095,34.12172111761046,-0.1210548143761794,0.9036479481422561
property_pu,-945.9141222985114,30.497503750648004,-31.016116270775534,7.346727699577209e-210
purpose_c,924.2561058284928,30.89300711855308,29.917971477545876,1.7036485501772978e-195
purpose_n,501.1211946808504,31.945271735872037,15.686865925705385,2.286134727193616e-55
term_frm180,400.30479419508,510.210571655122,0.7845874163220337,0.4326980271110653
term_frm240,-788.2670753499717,80.59843776809103,-9.78017809250947,1.4136535195219514e-22
region_west,-1386.5474514291468,29.420227718485283,-47.12905232062337,0
region_south,-820.647592526794,27.856845916094432,-29.459458367921716,1.2027200733169095e-189
region_northeast,15.924703423650795,39.07251263697855,0.4075679384022906,0.6835920881965662
(Intercept),9754.692930470008,177.03778354316165,55.09949760578551,0
fico,-724.7565584581816,19.31854936220748,-37.516096310834264,3.819036643987434e-305
fthb,237.91318308550882,36.302018447334135,6.553717761745563,5.648971098539017e-11
one_unit,-952.2124537199388,64.57066112495524,-14.74682831382577,3.788938318508457e-49
cltv,303.1581903474951,10.073660822408723,30.094143101693856,9.135778776923521e-198
dti,-118.17010447691803,9.004747254534955,-13.123089536733572,2.6874645208425102e-39
one_borrower,649.9895322379854,21.6278715271915,30.05332870693218,3.075727921413598e-197
occupancy_i,1923.6413724225201,36.35898735127813,52.90690177472443,0
occupancy_s,926.8547152506411,50.60236615028117,18.31643035224927,8.968071200512634e-75
property_co,6.898477984185129,34.6241740646867,0.1992387737913121,0.8420765188111821
property_pu,-911.8503438622831,30.67320946846472,-29.727907827831352,4.639869922114112e-193
purpose_c,919.291750704019,31.244962591629925,29.422078775357026,3.5735341018889963e-189
purpose_n,486.9858918585786,32.2129288713105,15.117715430474199,1.4787486927481368e-51
term_frm180,-337.81188993730115,434.21901742736134,-0.7779758057091829,0.4365857689710695
term_frm240,-697.3780396121675,81.06880658333183,-8.602298084841328,7.963615340774251e-18
region_west,-1305.6042781598405,29.683997075126708,-43.98343911891345,0
region_south,-738.2182348113706,28.050049844874646,-26.317893868065948,6.03961658207813e-152
region_northeast,140.0375329649715,39.092216741448546,3.5822356632053824,3.408851168236315e-4
(Intercept),9814.770068783313,176.62526625315402,55.56832426633667,0
fico,-730.3678437852352,19.36123527222415,-37.72320482221655,1.8176018499613087e-308
fthb,308.012811996503,36.63119576784325,8.40848368556105,4.2263010540291643e-17
one_unit,-928.9649945210887,63.875401231433806,-14.543391925715756,7.492819353866601e-48
cltv,296.45237232981106,10.075895563299294,29.42193777887267,3.588233827706705e-189
dti,-110.3604061671156,9.061736250388206,-12.178726362995585,4.351263525110952e-34
one_borrower,669.9120270444272,21.654995588502874,30.935680605730468,8.617863495697004e-209
occupancy_i,1985.1200506254079,36.35813163576323,54.59906659980209,0
occupancy_s,886.6425424796181,51.23282377217155,17.306142375100183,5.7352261457522635e-67
property_co,23.886419350116594,34.44872846773477,0.6933904504628958,0.48806673429975633
property_pu,-959.0177278565143,31.029716941256137,-30.90642849472579,2.1067136261038895e-208
purpose_c,958.372186292538,31.157369513228705,30.75908529074109,1.877468646273274e-206
purpose_n,521.3671106179556,32.099749337226974,16.24209289426792,3.220039243437205e-59
term_frm180,-373.02285973651243,451.25668576032774,-0.8266312090379376,0.40844879336849527
term_frm240,-802.5843684678445,81.5444398496943,-9.842294213403113,7.644009888020648e-23
region_west,-1372.0752740231883,29.718293625765334,-46.169382781574605,0
region_south,-793.6633883179938,28.080857569340985,-28.263502507292547,8.340911203898013e-175
region_northeast,39.09295492363013,38.86347659063417,1.005904729919383,0.3144646966557152
(Intercept),9198.945839131064,177.11839465841845,51.93670514500588,0
fico,-706.9353325769235,19.37182472790991,-36.49296555726153,5.456673280193101e-289
fthb,222.6322027656419,36.537621882422485,6.093231887999415,1.1119862334806815e-9
one_unit,-618.3783965199007,63.8152966679061,-9.690128054060974,3.4238215247207497e-22
cltv,315.0482424585665,10.066002783235964,31.298247103930017,1.2420296663148555e-213
dti,-98.95342140971817,9.080580570595483,-10.897257134653566,1.246856435728097e-27
one_borrower,633.1662775641404,21.637905503408053,29.26190233451266,3.741555857002033e-187
occupancy_i,1971.4607052155507,36.26262837117812,54.36618341715369,0
occupancy_s,913.5350129997968,50.9272881452027,17.93802588496656,8.462185609282919e-72
property_co,1.0814873226857038,34.48064508494349,0.031365054801656016,0.9749784944217874
property_pu,-943.1400498347626,30.847116221027655,-30.574658683713498,5.029624624280387e-204
purpose_c,914.4744303141599,31.17368434365842,29.334820364285527,4.516787084107067e-188
purpose_n,517.9621848044424,32.13798914433555,16.11681995653842,2.445267158792049e-58
term_frm180,-518.5820785445212,429.6570865849586,-1.206967357774463,0.22744858123693623
